citation_1_x,citation_1_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,49,49,2010,,31,24,24,2010,,31,15,15,2010,,31,7,7,2010,,31,17,17,2010,,31,9,9,2010,,31,0,0,2010,,31,3,3,2010,,31,2,2,2010
32,51,51,2011,,32,20,20,2011,,32,13,13,2011,,32,6,6,2011,,32,19,19,2011,,32,7,7,2011,,32,2,2,2011,,32,2,2,2011,,32,1,1,2011
33,49,49,2012,,33,25,25,2012,,33,20,20,2012,,33,9,9,2012,,33,18,18,2012,,33,13,13,2012,,33,0,0,2012,,33,1,1,2012,,33,4,4,2012
34,35,35,2013,,34,34,34,2013,,34,15,15,2013,,34,8,8,2013,,34,22,22,2013,,34,12,12,2013,,34,1,1,2013,,34,1,1,2013,,34,5,5,2013
35,49,49,2014,,35,20,20,2014,,35,20,20,2014,,35,8,8,2014,,35,19,19,2014,,35,16,16,2014,,35,1,1,2014,,35,0,0,2014,,35,4,4,2014
36,48,48,2015,,36,23,23,2015,,36,24,24,2015,,36,7,7,2015,,36,22,22,2015,,36,13,13,2015,,36,1,1,2015,,36,2,2,2015,,36,0,0,2015
37,46,46,2016,,37,21,21,2016,,37,19,19,2016,,37,12,12,2016,,37,19,19,2016,,37,20,20,2016,,37,1,1,2016,,37,0,0,2016,,37,4,4,2016
38,54,54,2017,,38,25,25,2017,,38,28,28,2017,,38,8,8,2017,,38,15,15,2017,,38,21,21,2017,,38,0,0,2017,,38,0,0,2017,,38,5,5,2017
39,47,47,2018,,39,26,26,2018,,39,19,19,2018,,39,5,5,2018,,39,30,30,2018,,39,19,19,2018,,39,0,0,2018,,39,0,0,2018,,39,0,0,2018
40,79,79,2019,,40,23,23,2019,,40,24,24,2019,,40,10,10,2019,,40,22,22,2019,,40,22,22,2019,,40,1,1,2019,,40,0,0,2019,,40,1,1,2019
41,87,87,2020,,41,33,33,2020,,41,22,22,2020,,41,11,11,2020,,41,19,19,2020,,41,24,24,2020,,41,0,0,2020,,41,1,1,2020,,41,2,2,2020
42,74,74,2021,,42,28,28,2021,,42,27,27,2021,,42,11,11,2021,,42,22,22,2021,,42,19,19,2021,,42,0,0,2021,,42,0,0,2021,,42,3,3,2021
43,65,65,2022,,43,22,22,2022,,43,17,17,2022,,43,12,12,2022,,43,22,22,2022,,43,13,13,2022,,43,1,1,2022,,43,1,1,2022,,43,3,3,2022
44,22,22,2023,,44,11,11,2023,,44,13,13,2023,,44,2,2,2023,,44,9,9,2023,,44,5,5,2023,,44,0,0,2023,,44,0,0,2023,,44,0,0,2023
